801151532959993856	83	833184807781818370-833091232893173760-833182169598132224-833181745956679681-833076280165740544-833195939481411584-833180785456857088-833077538482122753-833196673488805889-833426328418451457-833378639177711616-833378152625893377-833228197890293761-833228847999025153-833286809085935616-833287257868091393-833242211051569153-833288893650853889-833289204037742592-833289220806627328-833289342432997376-833362205886316544-833422402541514752-833424440969027584-833424822667448320-833758089472049153-833816826517811203-834014625674907650-834014671833268224-833756516603875328-833905636681318400-833791920719605760-833953342720188417-833816528705429505-833952533202755584-833818793633775620-833849042954121216-834013161883852801-834013304460890112-833818797832335360-834013350623399938-834013375772422144-833894563731353601-833868017960263681-833986385430380546-833985664005898240-833893519349649408-833896916748468224-833845293242257408-833819317917609984-833845372942442496-834242640619110400-834209585309347845-834181118576435200-834134847002181633-834163422816247808-834242586122526722-834117239347507203-834165499009265665-834057428555661314-834244901369896960-834226681313243137-834194620028448769-834194494232915969-834071643060322304-834117058992369664-833651059226710020-833605773334831104-833606884821078017-833620059113287684-833622923810263040-833468233709666305-833659179403452418-833559443044462595-833560646818078720-833742646053048321-833623582324318208-833470968387469312-833528824604286976-833607748831019009-833652724365459456-833604326295605249-833651310872449024
724050768106500096	45	833866147300855809-833804474254770177-833871209834094595-833999517817176064-833978114275495936-833448520455700480-833365347403231235-833393117927657472-833250796779270150-833333021935861760-833419449768280065-833468573439889409-834070049220603904-834090085406621696-834142069618794496-834048649877413888-834107718260633601-834238882531123200-834126898800291850-834124369664339973-834065171236679681-834044833056567296-834058728806739969-834107726649233408-833686324909576192-833661037463400448-833518821197672448-833476123178696704-833578011236696064-833593098143985664-833640896415535104-833623410345402372-833727697532620807-833546608478412800-833703991313911808-833623406172110849-833674945783799808-833103866124173312-833126293050888193-833211802355904512-833192965728325632-833201794738176000-833138829846540288-833171834812166144-833057091250171904
827676148020740099	35	833349752993480704-833424432563617794-833414227826241537-833776754116481025-833801991239393281-833518678587088897-833711419426234368-833524961650282498-833728892896739329-833529994840260610-833687289624686592-833672173323743232-833750418098360322-833755627390369792-833727064205312004-833518682773012480-833194052061429760-833194039478538245-833135029790326784-833052255192506369-833135017207463936-833080759707660288-833080780654047238-833137403762245634-833146308273774592-833081166567714818-833131133311320065-834226836477448192-834100529206800384-834142585522384896-834243248793206785-834145106303320065-834145110476595201-834149602559422467-834243257185996800
720158169515835392	30	833700732360495105-833536038836400128-833704427554889728-833743233251368960-833576346089426944-833561536010481664-833740741813735424-833058102060544000-833163496539906048-833219016562876416-833119955453227008-833158392067657728-833118034483032065-833050304866193411-833333512669237249-833259718051127297-833287715051364352-833302554490441730-833404098577735680-833960913426190336-833991447938338818-833906072918167552-833776032708562944-833929162536554497-833892143630413824-834005679245557760-833811180971974656-833989619226079232-833802242889175040-834209807598968832
4256298574	29	833098568718184448-833143481308573696-833154415854882816-833054662756478976-833107930417213440-833231846913646592-833150620047548417-833150620047548417-833075692963180544-833053052143706112-833559573071962113-833731208152379392-833488190191198208-833556775450222592-833532163295375360-834113787405807616-834114907314327552-834055109122232320-834046615635636224-834084368578551808-834110025106812928-834200974432415744-834184620807639041-833936410319089666-833950939379699712-833797075531730944-833827488425848832-834033382606540800-833917103920943104
833594429839654912	23	833795972400607233-833977229273137152-833995315107811330-834011417057566721-833961085371871232-833920853633032194-833948951262986240-834015401608671232-833880533776158720-834005301724590080-833912754436202496-833864415078469632-833963102865600513-834212676511420418-834154312792231937-834154325362487296-834128131917217793-834166451086966785-833733745706430465-833741643589246978-833733703801118720-833743640094732288-833735800915386368
3755859799	23	833268110866137088-833285252995043328-833413435123654656-833465591306428416-833261806835552256-834137975961247745-834132951172423681-834174969747697664-834234004568092673-833128247596457985-833114645502111745-833226138474336257-833173558691893248-833178935793889280-833833146529361922-833927879067000834-833774036211478529-833819045291896832-833570117535485952-833507735647817729-833719023711842306-833617609635426304-833716230301233152
16788931	23	834247392773939200-833448134600695809-833321185601519616-833328735336140800-833449153812393985-833321030387060737-833344438818725889-833448168134156288-833330505332330497-833859725846511616-833870916257972225-833831112304586752-833548151948730370-833562953676791808-833471064869003268-833502891222630402-833529512478531584-833503633639620608-833548697220755456-833481286362755072-833548185528307713-833173009229832192-833167258843176964
809272413292662784	21	833439427225477120-833455243954315266-833467839432364033-833408771065933824-833413846148673536-833430371702169600-833460440675950592-833429381854883840-833831951144398848-833914377627590656-833894278510239744-834196226455203841-834134515651993600-834188840273219584-833510881363271680-833597304997187585-833510654891810816-833581052094406660-833486265009836034-833598261332058112-833593081362468864
787651238749958146	20	833646739076825088-833691890767818752-833644264424869889-833695346865926144-833695577548455937-833648840410533893-833644813895475201-833690338871148545-833646546151493632-833696743577501697-833142768277012480-833268291246444544-833374369355276289-833319696598437888-833856915646070785-833857058244026370-834018652215181317-834191738545782784-834123841152618496-834231764805640192
746778695130558464	20	833807901026353153-833877404829569024-834014973806465024-833666997586124800-833725189326245888-833486046914572288-833663528879927296-833708206622900224-833661981173350406-833655341585936384-833546969175965696-833090683439284224-833143644882337792-833184216422678530-833175358035914756-833179258717667328-833176851212337152-833087416072298498-833143359677935616-833296258852872193
711627609344516096	19	833808098166992900-833964839290548224-833887727011713024-833463133419237376-833462693017292800-833305750550228992-833729220081831936-833687893591863296-833175269968138241-833055249925603329-833173940369555456-833053786117648385-833171876771987456-833080902305591297-833054289438310401-834237498410803201-834167369664700416-834052290541654017-834047668393484288
376063813	19	834149518710943744-833433584560066560-833386365098209280-833916835502317568-833910002960044032-833903958963810305-833860543748268033-833859646150496256-833873546065518592-833911143806545920-833180621891530753-833055946179907584-833093539760271360-833179774616956928-833080831006552064-833074195596587008-833541327828635648-833540912592543744-833540602230738944
2721278943	19	834062608521166849-833691408410275842-833591961474961408-833732986575187968-833624660247969793-833371735332360192-833354236704522241-833835998668869633-833954349319647233-833905213077647360-833938058651324416-833905246640492545-833960770811604992-833960775018483713-833845100287516672-833971919271649280-833120123225530369-833050934003523585-833224502712606720
1151933252	19	833909264783519744-833907570276327425-833912347559223296-833909923255771137-833909516429242369-833555466831552512-833724157539987456-833472784512585728-833605207070171137-833472809699418112-833470456661372928-833470565751009284-833469546530889729-833152239044681730-833209168328667137-833118156126199810-833051605112983552-833182828078653441-833176729573154816
824727376177229824	18	834193332410605569-834232050009804800-834069491357147136-834099468043554816-834086813828411392-833581177931849728-833513817405480960-833692008191451138-833516904409018369-833470712522215424-833119628305977346-833209570952519681-833124548249677824-833052750124494849-833786258421714944-833843900749983745-834040718440042496-833974083540770816
782585816950255619	18	833168135436062720-834143105620250624-834075380176809986-834047530002501632-834053011936837637-834146192615407616-834146192615407616-834051472652431360-834054735820906496-834211854457126912-834232129710125057-833717585065758720-833467231262666752-833720164566831104-833742973208756224-833307176617783296-833308279723982849-833410394236530688
738590994170417154	18	834227784385826816-834076269381718016-834153272592080896-833686492698472448-833681690224533505-833729731778408451-833661784045318144-833452404397838338-833300654475010049-833273768977977344-833265673962860544-834014860543275008-834023689561612288-833778301806088192-833952197675069440-833810514085941248-833878210131529729-834025975482421248
64202555	18	834131508348674048-834138579953557504-834130078074167296-834139896939892736-833910057473413121-833907830298009600-833818143491452928-833762208286859264-833848153757478912-833913224206573568-833152574576435200-833177174169444352-833122694367375360-833449480976375808-833582369105776641-833584415913570304-833724858005491713-833738015524614147
