trump	86623
you	17155
president	11577
this	10149
donald	9305
sweden	8394
his	8293
not	7954
what	7279
about	7160
news	6565
media	6452
have	5765
all	5236
just	5053
people	5003
your	4960
who	4917
they	4867
out	4817
